band_name,album_name,song_name,release_year,duration_seconds,video_id,bit_depth,bitrate,channels,sample_rate,3class_split
Abbath,Abbath,Ashes Of The Damned,2016,238.097415,K5pMoSECagE,16,1411200,2,44100,test/valid
After The Burial,Dig Deep,Lost In The Static,2016,271.2787302,hUNAX1UYeAE,16,1411200,2,44100,train
Amon Amarth,Surtur Rising,Destroyer of the Universe,2011,224.1886621,5aaOqUYG8Tw,16,1411200,2,44100,train
Amon Amarth,Twilight of the Thunder God,Live For The Kill,2008,249.7538322,Bh_5ofa__pY,16,1411200,2,44100,train
Amon Amarth,Twilight of the Thunder God,Twilight Of The Thunder God,2008,265.5898413,edBYB1VCV0k,16,1411200,2,44100,train
Be'lakor,Stone's Reach,Venator,2009,517.9559375,ainbICPRV8Y,16,1536000,2,48000,train
Behemoth,I Loved You at Your Darkest,Ecclesia Diabolica Catholica,2018,324.3363265,HKWqzjQAv14,16,1411200,2,44100,train
Behemoth,I Loved You at Your Darkest,Bartzabel,2018,320.9462132,Dhfy9TPga-c,16,1411200,2,44100,train
Behemoth,The Satanist,Blow Your Trumpets Gabriel,2013,297.9352381,Czx-OIyrQwQ,16,1411200,2,44100,train
Born of Osiris,Angel or Alien,White Nile,2021,229.0300417,4ShzP_M7W-k,16,1536000,2,48000,train
Cannibal Corpse,A Skeletal Domain,High Velocity Impact Spatter,2014,246.9442177,B3F10hXdmQY,16,1411200,2,44100,train
Children of Bodom,Hexed,Under Grass And Clover,2019,213.0663039,1gpfzCxiQ-A,16,1411200,2,44100,test/valid
Children of Bodom,Are You Dead Yet?,Living Dead Beat,2005,318.1365986,gG3JZ5vGJsk,16,1411200,2,44100,test/valid
Children Of Bodom,Are You Dead Yet?,Are You Dead Yet,2005,236.2630385,aNJXS9X0yY0,16,1411200,2,44100,train
Children of Bodom,Hate Crew Deathroll,Sixpounder,2003,213.3449433,09KScSe4hIc,16,1411200,2,44100,test/valid
Children Of Bodom,Follow the Reaper,Everytime I Die,2000,241.650068,5cEK1OLhUKQ,16,1411200,2,44100,train
Children Of Bodom,Are You Dead Yet?,In Your Face,2005,236.2630385,5SgN5lvWZwQ,16,1411200,2,44100,train
Dark Tranquillity,Lost to Apathy,Lost to Apathy,2004,240.8838095,GZqfH1LQEOQ,16,1411200,2,44100,test/valid
Dark Tranquillity,Atoma,Atoma,2016,262.8266667,C_voh9WFbsM,16,1411200,2,44100,test/valid
Death,Leprosy,Pull the Plug,1988,266.8204989,_duhhVa-dk8,16,1411200,2,44100,train
Death,Individual Thought Patterns,The Philosopher,1993,216.3867708,8256VJ4hkJU,16,1536000,2,48000,train
Decapitated,Anticult,Kill The Cult,2017,296.1705215,kQUTQTNChbE,16,1411200,2,44100,train
Decapitated,Blood Mantra,Blood Mantra,2014,305.9693424,8gILuUdY2cU,16,1411200,2,44100,train
Ensiferum,Unsung Heroes,In My Sword I Trust,2012,330.6753741,-2WqQY_xSSM,16,1411200,2,44100,test/valid
Enslaved,Caravans To The Outer Worlds,Caravans To The Outer Worlds,2021,382.3165533,ErTgN2zoTkA,16,1411200,2,44100,train
Godless,Swarm,Deathcult,2018,250.9844898,1CdtbR9JHCA,16,1411200,2,44100,train
Gojira,Magma,Stranded,2016,272.4397279,FNdC_3LR2AI,16,1411200,2,44100,test/valid
Gojira,Magma,Silvera,2016,214.0647619,iVvXB-Vwnco,16,1411200,2,44100,test/valid
Immortal,Northern Chaos Gods,Northern Chaos Gods,2018,265.4273016,c5uP9PlEDro,16,1411200,2,44100,train
In Flames,Reroute to Remain,Cloud Connected,2002,223.3295238,B7iIS91fMAc,16,1411200,2,44100,train
Lamb of God,Lamb of God,Memento Mori,2020,345.3503958,hBj0-dIU8HI,16,1536000,2,48000,train
Lamb of God,Ashes of the Wake,Laid to Rest,2004,234.1732426,HL9kaJZw8iw,16,1411200,2,44100,train
Lamb of God,Ashes of the Wake,Omerta,2004,287.5559184,-xYZM04JxnQ,16,1411200,2,44100,train
Lamb of God,Ashes of the Wake,Now You've Got Something to Die For,2004,219.8000907,0m5fIHHfJTw,16,1411200,2,44100,train
Lamb of God,Ashes of the Wake,The Faded Line,2004,278.8019955,JuRRnVqv2Vc,16,1411200,2,44100,train
Ne Obliviscaris,Citadel,Pyrrhic,2014,590.1351667,dCyxGNbBWAk,16,1536000,2,48000,test/valid
Ne Obliviscaris,Portal of I,And Plague Flowers the Kaleidoscope,2012,692.8533333,BNyYiTdqzAY,16,1536000,2,48000,test/valid
Nevermore,This Godless Endeavor,Born,2005,255.8374603,impRqn44OCA,16,1411200,2,44100,train
Of Mice & Men,Restoring Force,Bones Exposed,2014,271.0697506,IO-JbFtgeX4,16,1411200,2,44100,test/valid
Of Mice & Men,Timeless,Obsolete,2021,270.0712925,hxu3KXVy48w,16,1411200,2,44100,test/valid
Opeth,Blackwater Park,Blackwater Park,2001,732.8798333,j4xCb_OU_lM,16,1536000,2,48000,train
Parkway Drive,Horizons,Carrion,2007,188.0119728,BR2kSva4NT8,16,1411200,2,44100,train
Rings of Saturn,Lugal Ki En,Senseless Massacre,2014,214.3333333,F3A_3c882us,16,1536000,2,48000,test/valid
Slayer,Seasons in the Abyss,War Ensemble,1990,302.2541497,jqnC54vbUbU,16,1411200,2,44100,train
Slayer,South of Heaven,South Of Heaven,1988,298.5333333,74nTzbgDGWM,16,1536000,2,48000,train
Slipknot,All Hope Is Gone,Psychosocial,2008,302.1148299,5abamRO41fE,16,1411200,2,44100,test/valid
Suffocation,â€¦Of the Dark Light,Clarity Through Deprivation,2017,244.1810431,HUUBI7RJtr8,16,1411200,2,44100,test/valid
Suicide Silence,The Cleansing,No Pity for a Coward,2007,191.9361451,hwxTEcHnC1o,16,1411200,2,44100,train
Suicide Silence,No Time to Bleed,Disengage,2009,246.9442177,FukeNR1ydOA,16,1411200,2,44100,train
Suicide Silence,The Black Crown,You Only Live Once,2011,192.6095238,ds9s-pzGD0M,16,1411200,2,44100,train
Suicide Silence,The Black Crown,Slaves To Substance,2011,230.1329705,k27N-jRofrM,16,1411200,2,44100,train
Tesseract,Odyssey,Nocturne,2015,271.0233107,get0cXOsSXg,16,1411200,2,44100,train
Textures,Silhouettes,Storm Warning,2008,346.8829025,4600fGWcn9o,16,1411200,2,44100,train
Textures,Silhouettes,Old Days Born Anew,2008,337.3627211,731QmPnjqe4,16,1411200,2,44100,train
Thy Art Is Murder,Hate,Reign Of Darkness,2012,236.1004989,47Plg93oJ1M,16,1411200,2,44100,train
Veil of Maya,False Idol,Overthrow,2017,237.2847166,GLu-E42-RmA,16,1411200,2,44100,test/valid
Wintersun,Time I,Time,2012,704.7720635,ebSxxr726_8,16,1411200,2,44100,train
